Cluster_norm,Cluster
Cluster-60685.0,Cluster_60685_0.p1
Cluster-60685.0,Cluster_60685_0.p2
Cluster-28839.3,Cluster_28839_3.p1
Cluster-28839.0,Cluster_28839_0.p1
Cluster-28839.0,Cluster_28839_0.p2
Cluster-28839.1,Cluster_28839_1.p1
Cluster-28839.7,Cluster_28839_7.p1
Cluster-28839.8,Cluster_28839_8.p1
Cluster-28839.9,Cluster_28839_9.p1
Cluster-543.0,Cluster_543_0.p1
Cluster-43332.4,Cluster_43332_4.p1
Cluster-43332.4,Cluster_43332_4.p2
Cluster-43332.4,Cluster_43332_4.p3
Cluster-54345.0,Cluster_54345_0.p1
Cluster-54345.0,Cluster_54345_0.p2
Cluster-2049.0,Cluster_2049_0.p1
Cluster-16504.1,Cluster_16504_1.p1
Cluster-5399.0,Cluster_5399_0.p1
Cluster-5399.0,Cluster_5399_0.p2
Cluster-5399.0,Cluster_5399_0.p3
Cluster-40559.0,Cluster_40559_0.p1
Cluster-40559.0,Cluster_40559_0.p2
Cluster-40559.0,Cluster_40559_0.p3
Cluster-11350.0,Cluster_11350_0.p1
Cluster-52142.0,Cluster_52142_0.p1
Cluster-52142.0,Cluster_52142_0.p2
Cluster-47117.0,Cluster_47117_0.p1
Cluster-47117.0,Cluster_47117_0.p2
Cluster-47117.0,Cluster_47117_0.p3
Cluster-47117.0,Cluster_47117_0.p4
Cluster-16485.0,Cluster_16485_0.p1
Cluster-1072.1,Cluster_1072_1.p1
Cluster-1072.6,Cluster_1072_6.p1
Cluster-1072.6,Cluster_1072_6.p2
Cluster-1072.6,Cluster_1072_6.p3
Cluster-36494.6,Cluster_36494_6.p1
Cluster-36494.6,Cluster_36494_6.p2
Cluster-36494.3,Cluster_36494_3.p1
Cluster-36494.3,Cluster_36494_3.p2
Cluster-36494.0,Cluster_36494_0.p1
Cluster-36494.0,Cluster_36494_0.p2
Cluster-42632.3,Cluster_42632_3.p1
Cluster-42632.3,Cluster_42632_3.p2
Cluster-42632.3,Cluster_42632_3.p3
Cluster-30080.0,Cluster_30080_0.p1
Cluster-54172.0,Cluster_54172_0.p1
Cluster-62741.0,Cluster_62741_0.p1
Cluster-27630.0,Cluster_27630_0.p1
Cluster-27630.0,Cluster_27630_0.p2
Cluster-29572.0,Cluster_29572_0.p1
Cluster-20639.0,Cluster_20639_0.p1
Cluster-31591.7,Cluster_31591_7.p1
Cluster-31591.7,Cluster_31591_7.p2
Cluster-31591.6,Cluster_31591_6.p1
Cluster-31591.8,Cluster_31591_8.p1
Cluster-16705.0,Cluster_16705_0.p1
Cluster-16705.0,Cluster_16705_0.p2
Cluster-16705.0,Cluster_16705_0.p3
Cluster-48430.1,Cluster_48430_1.p1
Cluster-48430.1,Cluster_48430_1.p2
Cluster-61097.0,Cluster_61097_0.p1
Cluster-39290.3,Cluster_39290_3.p1
Cluster-39290.3,Cluster_39290_3.p2
Cluster-39290.2,Cluster_39290_2.p1
Cluster-39290.2,Cluster_39290_2.p2
Cluster-22867.0,Cluster_22867_0.p1
Cluster-28170.0,Cluster_28170_0.p1
Cluster-51629.0,Cluster_51629_0.p1
Cluster-28887.0,Cluster_28887_0.p1
Cluster-28887.0,Cluster_28887_0.p2
Cluster-52272.2,Cluster_52272_2.p1
Cluster-7992.30,Cluster_7992_30.p1
Cluster-7992.34,Cluster_7992_34.p1
Cluster-7992.34,Cluster_7992_34.p2
Cluster-7992.34,Cluster_7992_34.p3
Cluster-7992.34,Cluster_7992_34.p4
Cluster-7992.34,Cluster_7992_34.p5
Cluster-7992.34,Cluster_7992_34.p6
Cluster-5397.0,Cluster_5397_0.p1
Cluster-5397.0,Cluster_5397_0.p2
Cluster-19314.0,Cluster_19314_0.p1
Cluster-48990.0,Cluster_48990_0.p1
Cluster-14198.0,Cluster_14198_0.p1
Cluster-39922.17,Cluster_39922_17.p1
Cluster-442.3,Cluster_442_3.p1
Cluster-11542.12,Cluster_11542_12.p1
Cluster-59664.2,Cluster_59664_2.p1
Cluster-59664.2,Cluster_59664_2.p2
Cluster-59664.1,Cluster_59664_1.p1
Cluster-59664.1,Cluster_59664_1.p2
Cluster-41244.1,Cluster_41244_1.p1
Cluster-41244.1,Cluster_41244_1.p2
Cluster-30473.1,Cluster_30473_1.p1
Cluster-30473.0,Cluster_30473_0.p1
Cluster-30473.2,Cluster_30473_2.p1
Cluster-28388.2,Cluster_28388_2.p1
Cluster-28388.2,Cluster_28388_2.p2
Cluster-28388.5,Cluster_28388_5.p1
Cluster-28388.5,Cluster_28388_5.p2
Cluster-53360.1,Cluster_53360_1.p1
Cluster-41302.0,Cluster_41302_0.p1
Cluster-41302.0,Cluster_41302_0.p2
Cluster-41302.0,Cluster_41302_0.p3
Cluster-51828.0,Cluster_51828_0.p1
Cluster-51828.0,Cluster_51828_0.p2
Cluster-51828.0,Cluster_51828_0.p3
Cluster-51828.0,Cluster_51828_0.p4
Cluster-62390.0,Cluster_62390_0.p1
Cluster-26657.0,Cluster_26657_0.p1
Cluster-40587.7,Cluster_40587_7.p1
Cluster-46483.0,Cluster_46483_0.p1
Cluster-12761.1,Cluster_12761_1.p1
Cluster-12761.0,Cluster_12761_0.p1
Cluster-9950.2,Cluster_9950_2.p1
Cluster-9950.2,Cluster_9950_2.p2
Cluster-9950.0,Cluster_9950_0.p1
Cluster-9950.0,Cluster_9950_0.p2
Cluster-9950.1,Cluster_9950_1.p1
Cluster-46502.1,Cluster_46502_1.p1
Cluster-46502.0,Cluster_46502_0.p1
Cluster-20148.0,Cluster_20148_0.p1
Cluster-49471.1,Cluster_49471_1.p1
Cluster-49471.1,Cluster_49471_1.p2
Cluster-49471.1,Cluster_49471_1.p3
Cluster-52623.0,Cluster_52623_0.p1
Cluster-52623.1,Cluster_52623_1.p1
Cluster-30169.0,Cluster_30169_0.p1
Cluster-30169.0,Cluster_30169_0.p2
Cluster-34904.10,Cluster_34904_10.p1
Cluster-34904.10,Cluster_34904_10.p2
Cluster-34904.11,Cluster_34904_11.p1
Cluster-34904.11,Cluster_34904_11.p2
Cluster-34904.11,Cluster_34904_11.p3
Cluster-34904.12,Cluster_34904_12.p1
Cluster-34904.13,Cluster_34904_13.p1
Cluster-34904.13,Cluster_34904_13.p2
Cluster-34904.13,Cluster_34904_13.p3
Cluster-34904.14,Cluster_34904_14.p1
Cluster-34904.14,Cluster_34904_14.p2
Cluster-34904.14,Cluster_34904_14.p3
Cluster-34904.14,Cluster_34904_14.p4
Cluster-34904.14,Cluster_34904_14.p5
Cluster-34904.15,Cluster_34904_15.p1
Cluster-34904.15,Cluster_34904_15.p2
Cluster-34904.15,Cluster_34904_15.p3
Cluster-34904.17,Cluster_34904_17.p1
Cluster-34904.17,Cluster_34904_17.p2
Cluster-34904.17,Cluster_34904_17.p3
Cluster-34904.17,Cluster_34904_17.p4
Cluster-34904.17,Cluster_34904_17.p5
Cluster-34904.17,Cluster_34904_17.p6
Cluster-51288.0,Cluster_51288_0.p1
Cluster-51288.0,Cluster_51288_0.p2
Cluster-51288.0,Cluster_51288_0.p3
Cluster-51288.1,Cluster_51288_1.p1
Cluster-51288.1,Cluster_51288_1.p2
Cluster-51288.2,Cluster_51288_2.p1
Cluster-51288.2,Cluster_51288_2.p2
Cluster-51288.3,Cluster_51288_3.p1
Cluster-51288.4,Cluster_51288_4.p1
Cluster-51288.4,Cluster_51288_4.p2
Cluster-51288.4,Cluster_51288_4.p3
Cluster-45424.0,Cluster_45424_0.p1
Cluster-34548.0,Cluster_34548_0.p1
Cluster-43849.1,Cluster_43849_1.p1
Cluster-43849.1,Cluster_43849_1.p2
Cluster-49678.0,Cluster_49678_0.p1
Cluster-10007.0,Cluster_10007_0.p1
Cluster-31705.0,Cluster_31705_0.p1
Cluster-31705.1,Cluster_31705_1.p1
Cluster-11909.0,Cluster_11909_0.p1
Cluster-11909.0,Cluster_11909_0.p2
Cluster-43444.11,Cluster_43444_11.p1
Cluster-6467.0,Cluster_6467_0.p1
Cluster-35023.0,Cluster_35023_0.p1
Cluster-60333.0,Cluster_60333_0.p1
Cluster-60333.0,Cluster_60333_0.p2
Cluster-60333.0,Cluster_60333_0.p3
Cluster-2960.2,Cluster_2960_2.p1
Cluster-2960.2,Cluster_2960_2.p2
Cluster-2960.3,Cluster_2960_3.p1
Cluster-2960.3,Cluster_2960_3.p2
Cluster-2960.0,Cluster_2960_0.p1
Cluster-2960.0,Cluster_2960_0.p2
Cluster-2960.1,Cluster_2960_1.p1
Cluster-2960.1,Cluster_2960_1.p2
Cluster-50472.0,Cluster_50472_0.p1
Cluster-53448.0,Cluster_53448_0.p1
Cluster-53448.0,Cluster_53448_0.p2
Cluster-42082.0,Cluster_42082_0.p1
Cluster-42082.0,Cluster_42082_0.p2
Cluster-42082.0,Cluster_42082_0.p3
Cluster-42082.0,Cluster_42082_0.p4
Cluster-42082.0,Cluster_42082_0.p5
Cluster-42082.0,Cluster_42082_0.p6
Cluster-47368.0,Cluster_47368_0.p1
Cluster-47368.0,Cluster_47368_0.p2
Cluster-28973.0,Cluster_28973_0.p1
Cluster-46934.2,Cluster_46934_2.p1
Cluster-46934.2,Cluster_46934_2.p2
Cluster-46934.3,Cluster_46934_3.p1
Cluster-46934.3,Cluster_46934_3.p2
Cluster-18352.1,Cluster_18352_1.p1
Cluster-18352.0,Cluster_18352_0.p1
Cluster-18352.0,Cluster_18352_0.p2
Cluster-30053.0,Cluster_30053_0.p1
Cluster-38592.0,Cluster_38592_0.p1
Cluster-19452.2,Cluster_19452_2.p1
Cluster-19452.0,Cluster_19452_0.p1
Cluster-15178.0,Cluster_15178_0.p1
Cluster-15178.1,Cluster_15178_1.p1
Cluster-12843.0,Cluster_12843_0.p1
Cluster-52413.0,Cluster_52413_0.p1
Cluster-12824.1,Cluster_12824_1.p1
Cluster-12824.1,Cluster_12824_1.p2
Cluster-12824.0,Cluster_12824_0.p1
Cluster-12824.0,Cluster_12824_0.p2
Cluster-12824.0,Cluster_12824_0.p3
Cluster-12824.2,Cluster_12824_2.p1
Cluster-12824.2,Cluster_12824_2.p2
Cluster-37961.4,Cluster_37961_4.p1
